link,full_name,price,year,mileage_km,fuel_type,location
https://www.autovit.ro/autoturisme/anunt/hyundai-ix35-ID7HupWc.html,Hyundai ix35,10 999,2014,226 000 km,Diesel,Targu-Mures (Mures)
https://www.autovit.ro/autoturisme/anunt/volvo-v60-ID7HtGjE.html,Volvo V60,12 489,2016,260 000 km,Hibrid Plug-In,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-1-5-tsi-act-opf-dsg-comfortline-ID7HtF5D.html,Volkswagen Passat Variant 1.5 TSI ACT OPF DSG Comfortline,19 499,2020,127 846 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-2-0-tdi-dsg-4motion-highline-ID7HtGdU.html,Volkswagen Passat 2.0 TDI DSG 4Motion Highline,19 999,2018,93 500 km,Diesel,Maracineni (Arges)
https://www.autovit.ro/autoturisme/anunt/peugeot-508-sw-1-5-bluehdi-s-s-eat8-active-pack-ID7HuuQU.html,Peugeot 508 SW 1.5 BlueHDI S&S EAT8 Active Pack,11 999,2021,232 000 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-2-0-tdi-ambition-ID7HtUqK.html,Skoda Octavia 2.0 TDI Ambition,17 989,2020,97 696 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/ford-focus-1-6i-titanium-ID7HumPp.html,Ford Focus 1.6i Titanium,3 489,2010,219 500 km,Benzina,Catelu (Ilfov)
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-1-6-tdi-dpf-dsg-ambiente-ID7HtZ3u.html,Skoda Octavia 1.6 TDI DPF DSG Ambiente,5 999,2011,199 000 km,Diesel,Iasi (Iasi)
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-2-0-tdi-dsg-rs-ID7Htlxu.html,Skoda Octavia 2.0 TDI DSG RS,12 500,2016,206 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-1-6-dci-start-stop-acenta-ID7Hup0p.html,Nissan Qashqai 1.6 DCI Start/Stop Acenta,8 499,2013,205 000 km,Diesel,Timisoara (Timis)
https://www.autovit.ro/autoturisme/anunt/audi-a4-avant-2-0-tdi-dpf-multitronic-ambiente-ID7HupRo.html,Audi A4 Avant 2.0 TDI DPF multitronic Ambiente,12 900,2012,209 651 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/mazda-cx-5-ID7Hr0uN.html,Mazda CX-5,11 500,2013,205 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-d5-awd-aut-summum-ID7HtYfv.html,Volvo XC 60 D5 AWD Aut. Summum,12 589,2012,229 000 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/renault-kadjar-ID7Huq2h.html,Renault Kadjar,12 290,2016,156 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-318d-touring-advantage-ID7HscE8.html,BMW Seria 3 318d Touring Advantage,15 600,2020,209 327 km,Diesel,Stefanesti (Arges)
https://www.autovit.ro/autoturisme/anunt/bmw-x1-sdrive18d-ID7HrWQh.html,BMW X1 sDrive18d,8 499,2013,207 000 km,Diesel,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-1-4-tsi-bluemotion-technology-cityscape-ID7Hupmi.html,Volkswagen Tiguan 1.4 TSI BlueMotion Technology CityScape,8 999,2012,185 000 km,Benzina,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/nissan-x-trail-1-6-dci-tekna-ID7Huq0I.html,Nissan X-Trail 1.6 DCi Tekna,13 290,2017,209 000 km,Diesel,Moinesti (Bacau)
